,lat,long,headings,segment_links
38.905246625000004_-77.0564589,38.905246625000004,-77.0564589,[269.7261333713915],['38.9052445_-77.0570287']
38.91114174_-77.04102924,38.91114174,-77.04102924,[90.06479548214435],['38.91114118_-77.04040238']
38.91114118_-77.04040238,38.91114118,-77.04040238,[90.06479548214435],['38.91114062_-77.03977551999999']
38.91114062_-77.03977551999999,38.91114062,-77.03977551999999,[90.06479548214435],['38.91114006_-77.03914866']
38.91114006_-77.03914866,38.91114006,-77.03914866,[90.06479548214435],['38.9111395_-77.0385218']
38.91076855_-77.0416573,38.91076855,-77.0416573,"[180.14314411279628, 0.14314260533359402]","['38.9103948_-77.0416585', '38.9111423_-77.0416561']"
38.9115065_-77.04343610000001,38.9115065,-77.04343610000001,"[0.012181035859953226, 180.0121811614838]","['38.9118725_-77.043436', '38.9111405_-77.0434362']"
38.911139950000006_-77.0427434,38.911139950000006,-77.0427434,[90.05802098246511],['38.9111394_-77.0420506']
38.910641850000005_-77.0448791,38.910641850000005,-77.0448791,"[179.4423281333403, 359.4423359218738]","['38.9101462_-77.0448729', '38.9111375_-77.0448853']"
38.9113067_-77.04820634999999,38.9113067,-77.04820634999999,"[293.8068200052944, 113.8061917003821]","['38.9114784_-77.0487065', '38.911135_-77.0477062']"
38.91113825_-77.04716819999999,38.91113825,-77.04716819999999,[89.55485895517091],['38.9111415_-77.0466302']
38.9111257_-77.0493818,38.9111257,-77.0493818,"[268.61981076837367, 88.6186051662624]","['38.9111137_-77.0500216', '38.9111377_-77.048742']"
38.9111137_-77.0500216,38.9111137,-77.0500216,"[268.61981076837367, 88.6186051662624]","['38.9111017_-77.0506614', '38.9111257_-77.0493818']"
38.91113635_-77.0482241,38.91113635,-77.0482241,[90.19161301799386],['38.911135_-77.0477062']
38.910784150000005_-77.05032215,38.910784150000005,-77.05032215,[140.26274623207274],['38.91046660000001_-77.0499829']
38.91046660000001_-77.0499829,38.91046660000001,-77.0499829,[140.26274623207274],['38.91014905_-77.04964365']
38.91014905_-77.04964365,38.91014905,-77.04964365,[140.26274623207274],['38.9098315_-77.0493044']
38.9114176_-77.0506606,38.9114176,-77.0506606,"[0.11290312309091632, 180.11290412808054]","['38.9117335_-77.0506598', '38.9111017_-77.0506614']"
38.911057625_-77.0574215,38.911057625,-77.0574215,"[336.95531218358553, 156.95461999528266]","['38.91156155_-77.057697', '38.9105537_-77.057146']"
38.91156155_-77.057697,38.91156155,-77.057697,"[336.95531218358553, 156.95461999528266]","['38.912065475000006_-77.0579725', '38.911057625_-77.0574215']"
38.912065475000006_-77.0579725,38.912065475000006,-77.0579725,"[336.95531218358553, 156.95461999528266]","['38.9125694_-77.058248', '38.91156155_-77.057697']"
38.910547050000005_-77.05767605,38.910547050000005,-77.05767605,"[269.0766157427255, 89.07594988734115]","['38.9105404_-77.0582061', '38.9105537_-77.057146']"
38.91104765_-77.058216575,38.91104765,-77.058216575,"[359.0794324838204, 179.07940616559358]","['38.9115549_-77.05822705', '38.9105404_-77.0582061']"
38.9115549_-77.05822705,38.9115549,-77.05822705,"[359.0794324838204, 179.07940616559358]","['38.912062150000004_-77.05823752500001', '38.91104765_-77.058216575']"
38.912062150000004_-77.05823752500001,38.912062150000004,-77.05823752500001,"[359.0794324838204, 179.07940616559358]","['38.9125694_-77.058248', '38.9115549_-77.05822705']"
38.89736156666667_-77.0444348,38.89736156666667,-77.0444348,[89.94349633553253],['38.89736193333333_-77.0439532']
38.89736193333333_-77.0439532,38.89736193333333,-77.0439532,[89.94349633553253],['38.8973623_-77.0434716']
38.897851349999996_-77.04490955,38.897851349999996,-77.04490955,[0.6231498888448073],['38.8983415_-77.0449027']
38.904213375_-77.04489307499999,38.904213375,-77.04489307499999,[1.0521184235694818],['38.90469325_-77.04488175']
38.90469325_-77.04488175,38.90469325,-77.04488175,[1.0521184235694818],['38.905173125000005_-77.044870425']
38.905173125000005_-77.044870425,38.905173125000005,-77.044870425,[1.0521184235694818],['38.905653_-77.0448591']
38.903735366666666_-77.04442193333333,38.903735366666666,-77.04442193333333,[89.71468905457994],['38.90373723333334_-77.04393946666667']
38.90373723333334_-77.04393946666667,38.90373723333334,-77.04393946666667,[89.71468905457994],['38.9037391_-77.043457']
38.906183766666665_-77.04485736666666,38.906183766666665,-77.04485736666666,[0.1456032710887598],['38.906714533333336_-77.04485563333334']
38.906714533333336_-77.04485563333334,38.906714533333336,-77.04485563333334,[0.1456032710887598],['38.9072453_-77.0448539']
38.905643233333336_-77.0454534,38.905643233333336,-77.0454534,[268.79074783185087],['38.905633466666664_-77.0460477']
38.905633466666664_-77.0460477,38.905633466666664,-77.0460477,[268.79074783185087],['38.9056237_-77.046642']
38.90724675_-77.0452767,38.90724675,-77.0452767,[270.2527774544768],['38.9072482_-77.0456995']
38.90757695_-77.0448548,38.90757695,-77.0448548,[359.8790094581886],['38.9079086_-77.0448557']
38.8977624_-77.05342300000001,38.8977624,-77.05342300000001,"[7.161796083308786, 187.1618770865992]","['38.8981619_-77.0533585', '38.8973629_-77.0534875']"
38.8978544_-77.04170855000001,38.8978544,-77.04170855000001,[0.18500588206148905],['38.8983485_-77.0417065']
38.897360500000005_-77.041149175,38.897360500000005,-77.041149175,[89.97306909239126],['38.8973607_-77.04058775']
38.8973607_-77.04058775,38.8973607,-77.04058775,[89.97306909239126],['38.897360899999995_-77.040026325']
38.897360899999995_-77.040026325,38.897360899999995,-77.040026325,[89.97306909239126],['38.8973611_-77.0394649']
