pano_heading_id,lat,long,has_sun_glare,pano_id,heading,angle_risk,blockage_type
bZZGryZLK8x893bimqxy3w_224.9361863649736,38.31466082899672,-77.47749099545939,False,bZZGryZLK8x893bimqxy3w,224.9361863649736,False,none
bZZGryZLK8x893bimqxy3w_44.936186364973594,38.31466082899672,-77.47749099545939,False,bZZGryZLK8x893bimqxy3w,44.936186364973594,False,none
_XUDdpgmLQoSH8kNqmK2mg_225.37622936387675,38.314158895183816,-77.47813186310955,False,_XUDdpgmLQoSH8kNqmK2mg,225.37622936387675,False,none
_XUDdpgmLQoSH8kNqmK2mg_45.376229363876746,38.314158895183816,-77.47813186310955,False,_XUDdpgmLQoSH8kNqmK2mg,45.376229363876746,False,none
sCf10Qmch2Z7JIDg0G_vDw_218.27228309429518,38.31365979477699,-77.47877456228333,False,sCf10Qmch2Z7JIDg0G_vDw,218.27228309429518,False,none
sCf10Qmch2Z7JIDg0G_vDw_38.272283094295176,38.31365979477699,-77.47877456228333,False,sCf10Qmch2Z7JIDg0G_vDw,38.272283094295176,False,none
XBranPSBf4RuKQtO1fJPtw_174.98500388527447,38.31348207890761,-77.47954740561882,True,XBranPSBf4RuKQtO1fJPtw,174.98500388527447,True,none
XBranPSBf4RuKQtO1fJPtw_354.98500388527447,38.31348207890761,-77.47954740561882,False,XBranPSBf4RuKQtO1fJPtw,354.98500388527447,False,none
qNe871Rfyx5nTSvjD0kBmA_149.67746046591054,38.31541288408373,-77.47734939954898,False,qNe871Rfyx5nTSvjD0kBmA,149.67746046591054,True,tree
qNe871Rfyx5nTSvjD0kBmA_329.70827354836115,38.31541288408373,-77.47734939954898,False,qNe871Rfyx5nTSvjD0kBmA,329.70827354836115,False,none
wXqs7sKta8yLJni2n5tkhA_225.81985872900162,38.3152107496893,-77.47828965427857,False,wXqs7sKta8yLJni2n5tkhA,225.81985872900162,False,none
wXqs7sKta8yLJni2n5tkhA_47.14862444767664,38.3152107496893,-77.47828965427857,False,wXqs7sKta8yLJni2n5tkhA,47.14862444767664,False,none
1KfiVQVp1MzMONsv8GxJCg_150.48392611267695,38.31584724584151,-77.47829911869233,False,1KfiVQVp1MzMONsv8GxJCg,150.48392611267695,True,tree
1KfiVQVp1MzMONsv8GxJCg_330.20608508662224,38.31584724584151,-77.47829911869233,False,1KfiVQVp1MzMONsv8GxJCg,330.20608508662224,False,none
j6U09bTOCUYyrYhW1btdjw_55.112156872518085,38.316243531501016,-77.47721831650995,False,j6U09bTOCUYyrYhW1btdjw,55.112156872518085,False,none
7X2l7zJPaVy3EHCMPjnEqQ_55.99847544298984,38.31652055667927,-77.47835233438744,False,7X2l7zJPaVy3EHCMPjnEqQ,55.99847544298984,False,none
7X2l7zJPaVy3EHCMPjnEqQ_235.99847544298984,38.31652055667927,-77.47835233438744,False,7X2l7zJPaVy3EHCMPjnEqQ,235.99847544298984,False,none
PHsoyZsis9Rb5K9JE6EpYA_54.71812729150349,38.31699322910882,-77.4779368998719,False,PHsoyZsis9Rb5K9JE6EpYA,54.71812729150349,False,none
PHsoyZsis9Rb5K9JE6EpYA_234.7181272915035,38.31699322910882,-77.4779368998719,False,PHsoyZsis9Rb5K9JE6EpYA,234.7181272915035,False,none
g8-5Ep9ftLPULhYeZlyXcw_187.73701886056813,38.31622836814066,-77.47978459410903,True,g8-5Ep9ftLPULhYeZlyXcw,187.73701886056813,True,none
g8-5Ep9ftLPULhYeZlyXcw_358.2341569955888,38.31622836814066,-77.47978459410903,False,g8-5Ep9ftLPULhYeZlyXcw,358.2341569955888,False,none
0PTae8OOAdeDS03Is6rjzg_324.4694343125069,38.31562716344133,-77.48017506073205,False,0PTae8OOAdeDS03Is6rjzg,324.4694343125069,False,none
0PTae8OOAdeDS03Is6rjzg_144.4694343125069,38.31562716344133,-77.48017506073205,False,0PTae8OOAdeDS03Is6rjzg,144.4694343125069,False,none
JwCIHG5gHsQaJVHoXn-X-w_323.5669223965992,38.31522669347503,-77.47947576571228,False,JwCIHG5gHsQaJVHoXn-X-w,323.5669223965992,False,none
JwCIHG5gHsQaJVHoXn-X-w_143.56692239659918,38.31522669347503,-77.47947576571228,False,JwCIHG5gHsQaJVHoXn-X-w,143.56692239659918,False,none
lzHAMLH4FE9cIUCmOj9Jmw_171.76486873725287,38.31613413062248,-77.48178640838505,True,lzHAMLH4FE9cIUCmOj9Jmw,171.76486873725287,True,none
lzHAMLH4FE9cIUCmOj9Jmw_351.2385717996046,38.31613413062248,-77.48178640838505,False,lzHAMLH4FE9cIUCmOj9Jmw,351.2385717996046,False,none
M8zH6UNR-e3xoVEpAWyTFQ_324.1030660384635,38.31579876908612,-77.48224807165165,False,M8zH6UNR-e3xoVEpAWyTFQ,324.1030660384635,False,none
M8zH6UNR-e3xoVEpAWyTFQ_144.1030660384635,38.31579876908612,-77.48224807165165,False,M8zH6UNR-e3xoVEpAWyTFQ,144.1030660384635,False,none
XkpsDgPsTREOIBinmKSNYg_323.5173960638484,38.31541285175701,-77.48156927480849,False,XkpsDgPsTREOIBinmKSNYg,323.5173960638484,False,none
XkpsDgPsTREOIBinmKSNYg_143.51739606384842,38.31541285175701,-77.48156927480849,False,XkpsDgPsTREOIBinmKSNYg,143.51739606384842,False,none
zQAzUOmpkVBYH5hHT6bDiA_323.74829239592793,38.31502098274076,-77.48089389449638,False,zQAzUOmpkVBYH5hHT6bDiA,323.74829239592793,False,none
